iter	Passed	Remaining
0	26	26842
1	45	22801
2	51	17209
3	86	21435
4	110	21930
5	114	19048
6	119	16919
7	126	15743
8	136	15077
9	144	14317
10	169	15202
11	201	16569
12	205	15602
13	215	15197
14	244	16047
15	274	16886
16	302	17500
17	308	16830
18	314	16251
19	321	15774
20	326	15233
21	333	14806
22	343	14583
23	353	14385
24	358	13968
25	368	13801
26	372	13436
27	387	13462
28	404	13537
29	429	13893
30	446	13955
31	474	14355
32	480	14085
33	490	13947
34	495	13664
35	502	13444
36	532	13868
37	561	14202
38	589	14523
39	601	14430
40	631	14777
41	662	15105
42	689	15345
43	720	15654
44	751	15953
45	781	16207
46	811	16464
47	843	16733
48	871	16907
49	897	17048
50	924	17199
51	949	17308
52	977	17474
53	1007	17647
54	1033	17755
55	1059	17855
56	1084	17948
57	1110	18039
58	1138	18164
59	1164	18249
60	1190	18327
61	1216	18410
62	1242	18475
63	1265	18510
64	1289	18553
65	1313	18592
66	1338	18636
67	1364	18697
68	1389	18750
69	1413	18781
70	1438	18819
71	1462	18853
72	1486	18882
73	1511	18916
74	1536	18954
75	1562	18999
76	1587	19031
77	1613	19072
78	1638	19097
79	1662	19124
80	1687	19147
81	1712	19167
82	1736	19186
83	1763	19225
84	1787	19246
85	1813	19277
86	1839	19309
87	1864	19320
88	1889	19336
89	1912	19340
90	1936	19340
91	1961	19361
92	1986	19372
93	2010	19380
94	2035	19391
95	2060	19398
96	2084	19401
97	2108	19405
98	2132	19410
99	2157	19418
100	2182	19422
101	2206	19425
102	2229	19419
103	2254	19425
104	2278	19424
105	2302	19418
106	2326	19418
107	2351	19425
108	2375	19420
109	2400	19419
110	2424	19418
111	2447	19406
112	2473	19412
113	2496	19405
114	2521	19406
115	2545	19400
116	2570	19398
117	2594	19392
118	2620	19400
119	2645	19399
120	2671	19404
121	2697	19411
122	2722	19413
123	2748	19418
124	2773	19415
125	2798	19414
126	2824	19413
127	2851	19425
128	2877	19431
129	2905	19444
130	2937	19484
131	2969	19526
132	2993	19511
133	3016	19494
134	3041	19486
135	3065	19474
136	3089	19462
137	3114	19452
138	3138	19442
139	3163	19433
140	3188	19424
141	3212	19408
142	3235	19393
143	3260	19380
144	3284	19367
145	3309	19356
146	3333	19343
147	3356	19323
148	3380	19307
149	3404	19294
150	3427	19273
151	3451	19254
152	3475	19238
153	3498	19220
154	3522	19204
155	3547	19191
156	3570	19172
157	3594	19156
158	3620	19148
159	3643	19127
160	3667	19114
161	3693	19107
162	3720	19103
163	3744	19088
164	3771	19085
165	3795	19068
166	3819	19052
167	3843	19034
168	3868	19023
169	3894	19013
170	3924	19025
171	3947	19004
172	3970	18981
173	3994	18964
174	4018	18945
175	4043	18930
176	4067	18912
177	4091	18894
178	4115	18874
179	4139	18858
180	4164	18842
181	4188	18825
182	4213	18809
183	4236	18788
184	4260	18767
185	4284	18748
186	4308	18732
187	4332	18710
188	4357	18699
189	4383	18687
190	4407	18670
191	4431	18648
192	4456	18632
193	4479	18608
194	4503	18592
195	4528	18575
196	4551	18554
197	4576	18538
198	4601	18523
199	4625	18502
200	4649	18484
201	4674	18468
202	4698	18445
203	4723	18429
204	4746	18408
205	4771	18390
206	4796	18375
207	4820	18356
208	4845	18337
209	4871	18326
210	4896	18311
211	4928	18319
212	4953	18302
213	4976	18279
214	5000	18258
215	5026	18244
216	5052	18230
217	5076	18208
218	5101	18194
219	5125	18172
220	5149	18151
221	5173	18129
222	5196	18106
223	5220	18085
224	5246	18070
225	5268	18044
226	5291	18020
227	5316	18001
228	5338	17975
229	5362	17953
230	5387	17935
231	5410	17912
232	5435	17892
233	5460	17874
234	5483	17851
235	5507	17829
236	5535	17821
237	5559	17800
238	5583	17778
239	5607	17757
240	5632	17737
241	5657	17721
242	5682	17701
243	5707	17682
244	5731	17663
245	5756	17644
246	5784	17633
247	5807	17610
248	5831	17589
249	5858	17574
250	5883	17556
251	5910	17544
252	5933	17519
253	5956	17495
254	5980	17472
255	6003	17448
256	6027	17426
257	6052	17407
258	6075	17381
259	6100	17363
260	6124	17341
261	6148	17319
262	6173	17298
263	6197	17277
264	6221	17254
265	6246	17235
266	6270	17213
267	6294	17192
268	6320	17175
269	6344	17153
270	6368	17130
271	6392	17108
272	6414	17082
273	6438	17060
274	6464	17041
275	6488	17021
276	6513	17002
277	6539	16984
278	6564	16963
279	6589	16944
280	6614	16924
281	6638	16903
282	6663	16882
283	6688	16862
284	6713	16843
285	6740	16827
286	6766	16809
287	6789	16784
288	6813	16761
289	6837	16739
290	6861	16716
291	6887	16699
292	6911	16677
293	6939	16664
294	6963	16642
295	6989	16624
296	7014	16603
297	7039	16582
298	7064	16561
299	7092	16550
300	7117	16527
301	7141	16505
302	7165	16483
303	7189	16459
304	7213	16437
305	7236	16413
306	7260	16388
307	7284	16366
308	7307	16342
309	7332	16321
310	7358	16301
311	7382	16279
312	7407	16257
313	7432	16238
314	7456	16215
315	7482	16196
316	7506	16173
317	7531	16152
318	7555	16129
319	7579	16106
320	7603	16083
321	7628	16061
322	7651	16037
323	7675	16015
324	7699	15991
325	7724	15969
326	7749	15949
327	7773	15926
328	7797	15903
329	7820	15877
330	7843	15853
331	7867	15830
332	7890	15804
333	7913	15779
334	7938	15757
335	7961	15732
336	7985	15709
337	8009	15686
338	8033	15663
339	8057	15640
340	8080	15616
341	8104	15593
342	8127	15568
343	8152	15545
344	8176	15522
345	8198	15496
346	8222	15473
347	8245	15448
348	8268	15422
349	8291	15398
350	8315	15375
351	8338	15351
352	8363	15329
353	8387	15305
354	8411	15282
355	8436	15261
356	8459	15237
357	8483	15213
358	8507	15190
359	8530	15165
360	8553	15141
361	8577	15117
362	8602	15095
363	8628	15076
364	8652	15053
365	8678	15033
366	8701	15008
367	8726	14986
368	8749	14961
369	8771	14935
370	8795	14912
371	8821	14891
372	8844	14868
373	8868	14843
374	8892	14820
375	8914	14795
376	8938	14771
377	8962	14747
378	8985	14722
379	9009	14700
380	9034	14678
381	9058	14654
382	9082	14631
383	9106	14607
384	9129	14582
385	9153	14559
386	9175	14533
387	9197	14507
388	9221	14483
389	9245	14460
390	9268	14436
391	9291	14412
392	9315	14387
393	9338	14363
394	9361	14339
395	9385	14315
396	9408	14290
397	9432	14266
398	9456	14243
399	9479	14218
400	9503	14196
401	9527	14172
402	9550	14148
403	9574	14125
404	9599	14103
405	9624	14080
406	9649	14058
407	9673	14035
408	9697	14013
409	9722	13990
410	9746	13967
411	9768	13940
412	9792	13918
413	9816	13895
414	9841	13873
415	9869	13854
416	9898	13838
417	9922	13815
418	9954	13802
419	9983	13786
420	10007	13763
421	10033	13742
422	10058	13719
423	10081	13695
424	10106	13673
425	10129	13648
426	10152	13624
427	10177	13601
428	10200	13576
429	10223	13552
430	10246	13527
431	10269	13502
432	10293	13479
433	10317	13456
434	10342	13433
435	10365	13408
436	10390	13386
437	10413	13361
438	10437	13337
439	10461	13314
440	10485	13291
441	10509	13267
442	10535	13246
443	10558	13221
444	10584	13201
445	10609	13178
446	10635	13156
447	10659	13133
448	10684	13111
449	10708	13087
450	10733	13065
451	10758	13043
452	10782	13019
453	10805	12995
454	10831	12973
455	10859	12955
456	10890	12939
457	10919	12922
458	10943	12898
459	10966	12874
460	10990	12849
461	11014	12826
462	11038	12802
463	11062	12778
464	11086	12755
465	11109	12730
466	11133	12706
467	11156	12682
468	11179	12657
469	11203	12633
470	11226	12608
471	11249	12583
472	11274	12561
473	11297	12537
474	11320	12512
475	11344	12487
476	11366	12462
477	11391	12440
478	11415	12416
479	11440	12393
480	11462	12368
481	11487	12345
482	11511	12321
483	11533	12296
484	11558	12273
485	11584	12251
486	11608	12228
487	11634	12206
488	11658	12183
489	11683	12160
490	11707	12136
491	11729	12111
492	11752	12085
493	11775	12061
494	11800	12038
495	11825	12016
496	11858	12001
497	11888	11984
498	11919	11967
499	11942	11942
500	11966	11918
501	11988	11893
502	12013	11870
503	12037	11846
504	12061	11822
505	12084	11798
506	12108	11774
507	12132	11750
508	12155	11726
509	12178	11701
510	12201	11676
511	12226	11653
512	12249	11628
513	12274	11605
514	12296	11580
515	12319	11555
516	12342	11530
517	12365	11505
518	12388	11481
519	12412	11457
520	12436	11434
521	12461	11411
522	12484	11386
523	12510	11364
524	12533	11339
525	12557	11316
526	12581	11291
527	12605	11268
528	12629	11244
529	12655	11222
530	12680	11200
531	12705	11176
532	12729	11153
533	12753	11129
534	12775	11104
535	12799	11080
536	12824	11057
537	12855	11039
538	12884	11019
539	12911	10998
540	12936	10975
541	12960	10951
542	12984	10927
543	13006	10902
544	13030	10879
545	13054	10854
546	13078	10830
547	13102	10807
548	13125	10782
549	13149	10758
550	13173	10734
551	13196	10710
552	13219	10685
553	13243	10661
554	13267	10637
555	13291	10613
556	13315	10590
557	13339	10566
558	13362	10541
559	13386	10517
560	13409	10493
561	13431	10468
562	13457	10446
563	13480	10421
564	13504	10396
565	13528	10373
566	13551	10349
567	13576	10325
568	13600	10301
569	13624	10278
570	13648	10254
571	13673	10231
572	13697	10207
573	13720	10182
574	13745	10159
575	13767	10134
576	13791	10110
577	13816	10087
578	13839	10063
579	13862	10038
580	13885	10013
581	13909	9990
582	13932	9965
583	13957	9942
584	13981	9918
585	14003	9893
586	14028	9869
587	14050	9844
588	14073	9820
589	14096	9795
590	14119	9771
591	14144	9748
592	14168	9724
593	14191	9699
594	14214	9675
595	14237	9650
596	14261	9626
597	14283	9601
598	14306	9577
599	14329	9553
600	14354	9529
601	14379	9506
602	14402	9482
603	14425	9457
604	14449	9433
605	14474	9410
606	14496	9385
607	14521	9362
608	14546	9339
609	14571	9316
610	14595	9292
611	14619	9268
612	14642	9244
613	14666	9220
614	14690	9196
615	14713	9171
616	14736	9147
617	14759	9123
618	14783	9099
619	14810	9077
620	14833	9053
621	14855	9028
622	14879	9003
623	14902	8979
624	14924	8954
625	14947	8930
626	14970	8905
627	14994	8882
628	15019	8858
629	15041	8834
630	15065	8809
631	15087	8785
632	15111	8761
633	15134	8736
634	15157	8712
635	15181	8688
636	15204	8664
637	15229	8641
638	15252	8616
639	15275	8592
640	15299	8568
641	15322	8544
642	15346	8520
643	15368	8495
644	15393	8472
645	15416	8448
646	15440	8424
647	15465	8400
648	15488	8376
649	15513	8353
650	15536	8328
651	15560	8305
652	15584	8281
653	15609	8258
654	15633	8234
655	15656	8209
656	15679	8186
