Latence1;Latence2;Latence3;CPU1;RAM1;CPU2;RAM2;CPU3;RAM3;Coord1;Coord2;CoordCar1;CoordCar2
0.4851472687;0.2247932207;0.1238251286;0.41;0.4;0.22;0.4;0.59;0.6;3;4;3;2
0.1579956163;0.1324883236;0.3529087731;0.23;0.3;0.72;0.5;0.96;0.7;3;3;2;2
0.4469185589;0.1657030936;0.2923572834;0.20;0.4;0.96;0.3;0.38;0.5;4;4;2;2
0.1861386745;0.1369904514;0.2856746031;0.33;0.4;0.95;0.4;0.72;0.4;2;2;3;4
0.0631237083;0.1851891713;0.2858467007;0.12;0.7;0.34;0.8;0.31;0.4;2;3;4;2
0.1671154491;0.2535742211;0.3584784745;0.70;0.3;0.83;0.7;0.87;0.7;1;2;3;4
0.3382806491;0.2874456473;0.3370003169;0.31;0.5;0.68;0.5;0.72;0.6;3;2;2;4
0.2360692199;0.2416277515;0.1773677824;0.91;0.4;0.58;0.6;0.34;0.7;3;4;1;1
0.4553584606;0.1345596996;0.2560397191;0.30;0.6;0.70;0.6;0.67;0.5;4;4;2;2
0.3358153224;0.1317655406;0.2634848494;0.57;0.3;0.48;0.4;0.74;0.5;1;3;2;1
0.4235108657;0.2060019540;0.1236481322;0.34;0.4;0.73;0.8;0.54;0.6;4;4;4;2
0.0873601220;0.1359375391;0.3007034630;0.53;0.8;0.58;0.4;0.94;0.7;2;1;3;3
0.5721302169;0.1985840252;0.2405384425;0.20;0.5;0.18;0.5;0.40;0.5;3;3;2;2
0.1701673640;0.2051335815;0.3560269843;0.44;0.5;0.79;0.7;0.45;0.6;2;1;4;3
0.4010884656;0.1398415034;0.3611752983;0.72;0.6;0.60;0.3;0.70;0.6;3;4;1;4
0.3029927806;0.2687044514;0.2538587118;0.78;0.6;0.30;0.6;0.82;0.6;3;2;4;4
0.3457304597;0.2620726531;0.1501186949;0.26;0.6;0.66;0.4;0.61;0.4;3;2;2;3
0.2474333563;0.1584143010;0.2764545766;0.26;0.6;0.16;0.6;0.54;0.4;1;3;1;4
0.2583507258;0.1945964739;0.2566073858;0.30;0.6;0.19;0.3;0.24;0.6;1;1;4;2
0.2424091517;0.2271265014;0.1820800626;0.25;0.7;0.32;0.5;0.80;0.4;4;3;4;2
0.3381803397;0.1563383366;0.2779653593;0.11;0.4;0.79;0.4;0.83;0.4;4;4;3;3
0.2794695891;0.1580138371;0.1259222825;0.16;0.3;0.58;0.7;0.42;0.5;3;1;2;2
0.1271367271;0.1948380840;0.1623955483;0.21;0.4;0.82;0.4;0.31;0.3;3;4;4;3
0.4125992651;0.1807401108;0.0967110393;0.46;0.5;0.78;0.6;0.46;0.8;2;1;3;4
