Latence1;Latence2;Latence3;CPU1;RAM1;CPU2;RAM2;CPU3;RAM3;Coord1;Coord2
0.1682945903;0.2506473185;0.1755893176;0.36;0.7;0.30;0.7;0.80;0.7;3;1
0.1100521606;0.2428419849;0.0974563766;0.69;0.4;0.50;0.5;0.17;0.7;1;5
0.4689623695;0.2422659281;0.1378959239;0.93;0.6;0.73;0.7;0.83;0.7;2;1
0.3806366421;0.1694236074;0.1224387009;0.30;0.7;0.59;0.4;0.62;0.4;0;0
0.1737488993;0.1892388392;0.2304440613;0.44;0.7;0.68;0.3;0.33;0.4;0;3
0.1040540357;0.1238870495;0.0929365848;0.35;0.6;0.68;0.4;0.27;0.6;2;1
0.3058331856;0.2781090912;0.2748911685;0.83;0.7;0.70;0.5;0.80;0.6;1;2
0.3108352822;0.2665099308;0.1898987254;0.66;0.3;0.91;0.6;0.28;0.4;1;1
0.3136421702;0.2362561099;0.3389775051;0.22;0.6;0.29;0.3;0.44;0.4;4;5
0.2931068915;0.2322543997;0.2647784012;0.38;0.4;0.77;0.5;0.30;0.3;0;4
0.3906914126;0.2756590157;0.2950418700;0.77;0.7;0.22;0.4;0.51;0.6;0;1
0.4107089245;0.1211491408;0.1897993739;0.94;0.3;0.72;0.4;0.69;0.5;2;1
0.4581417812;0.2409884168;0.1199216110;0.38;0.6;0.28;0.4;0.92;0.4;1;0
0.1373265920;0.2801339496;0.3393841950;0.35;0.6;0.15;0.5;0.97;0.7;5;3
0.1043759880;0.1337265919;0.2055354535;0.64;0.4;0.49;0.4;0.83;0.7;4;5
0.1195625256;0.2927442927;0.2464254551;0.17;0.5;0.28;0.6;0.69;0.6;5;1
0.3797720865;0.2306578879;0.0808245811;0.66;0.8;0.27;0.4;0.56;0.4;3;3
0.4855276289;0.2858763112;0.1158443178;0.34;0.5;0.84;0.5;0.65;0.7;4;2
0.0706369486;0.1164217567;0.1993769547;0.28;0.4;0.52;0.5;0.96;0.8;2;0
0.1547071246;0.2116985601;0.0693775244;0.40;0.7;0.93;0.4;0.75;0.4;3;4
0.1327784262;0.1094230512;0.2297547878;0.52;0.7;0.29;0.4;0.33;0.3;2;0
0.5657779954;0.2050415590;0.0996391938;0.39;0.6;0.94;0.6;0.96;0.4;3;0
0.5532809967;0.1827593171;0.1150164440;0.43;0.7;0.33;0.4;0.70;0.4;3;3
0.0737549767;0.1219432612;0.0747985066;0.85;0.7;0.69;0.7;0.12;0.6;0;2
0.5577934934;0.2412174276;0.3201732520;0.47;0.7;0.52;0.7;0.86;0.3;5;0
0.1023285519;0.2496969605;0.0960336118;0.48;0.4;0.31;0.4;0.56;0.5;3;5
0.2106916357;0.1898949674;0.2901738757;0.36;0.5;0.48;0.5;0.71;0.7;2;4
0.3840771111;0.2821851003;0.1492439229;0.14;0.7;0.21;0.6;0.34;0.6;1;0
0.5226476444;0.2465455251;0.1135616664;0.28;0.5;0.86;0.6;0.30;0.6;2;4
0.1100126679;0.2021309874;0.1455959922;0.12;0.7;0.50;0.5;0.31;0.7;2;0
